State,Prison Centre,Year,Gender,Number of Prisoners
Perlis,Pusat Koreksional Perlis,2016,Men,1212
Perlis,Pusat Koreksional Perlis,2016,Women,0
Perlis,Pusat Koreksional Perlis,2017,Men,1222
Perlis,Pusat Koreksional Perlis,2017,Women,1
Perlis,Pusat Koreksional Perlis,2018,Men,1592
Perlis,Pusat Koreksional Perlis,2018,Women,0
Perlis,Pusat Koreksional Perlis,2019,Men,1893
Perlis,Pusat Koreksional Perlis,2019,Women,0
Kedah,Penjara Pokok Sena,2016,Men,5451
Kedah,Penjara Pokok Sena,2016,Women,625
Kedah,Penjara Pokok Sena,2017,Men,5176
Kedah,Penjara Pokok Sena,2017,Women,550
Kedah,Penjara Pokok Sena,2018,Men,5278
Kedah,Penjara Pokok Sena,2018,Women,588
Kedah,Penjara Pokok Sena,2019,Men,4316
Kedah,Penjara Pokok Sena,2019,Women,149
Kedah,Penjara Alor Setar,2016,Men,84
Kedah,Penjara Alor Setar,2016,Women,95
Kedah,Penjara Alor Setar,2017,Men,69
Kedah,Penjara Alor Setar,2017,Women,67
Kedah,Penjara Alor Setar,2018,Men,60
Kedah,Penjara Alor Setar,2018,Women,94
Kedah,Penjara Alor Setar,2019,Men,1341
Kedah,Penjara Alor Setar,2019,Women,631
Kedah,Penjara Sungai Petani,2016,Men,1414
Kedah,Penjara Sungai Petani,2016,Women,0
Kedah,Penjara Sungai Petani,2017,Men,1183
Kedah,Penjara Sungai Petani,2017,Women,0
Kedah,Penjara Sungai Petani,2018,Men,955
Kedah,Penjara Sungai Petani,2018,Women,0
Kedah,Penjara Sungai Petani,2019,Men,1067
Kedah,Penjara Sungai Petani,2019,Women,1
Pulau Pinang,Penjara Reman Pulau Pinang,2016,Men,147
Pulau Pinang,Penjara Reman Pulau Pinang,2016,Women,0
Pulau Pinang,Penjara Reman Pulau Pinang,2017,Men,81
Pulau Pinang,Penjara Reman Pulau Pinang,2017,Women,0
Pulau Pinang,Penjara Reman Pulau Pinang,2018,Men,74
Pulau Pinang,Penjara Reman Pulau Pinang,2018,Women,0
Pulau Pinang,Penjara Reman Pulau Pinang,2019,Men,60
Pulau Pinang,Penjara Reman Pulau Pinang,2019,Women,0
Pulau Pinang,Penjara Seberang Perai,2016,Men,6678
Pulau Pinang,Penjara Seberang Perai,2016,Women,771
Pulau Pinang,Penjara Seberang Perai,2017,Men,7519
Pulau Pinang,Penjara Seberang Perai,2017,Women,724
Pulau Pinang,Penjara Seberang Perai,2018,Men,7131
Pulau Pinang,Penjara Seberang Perai,2018,Women,746
Pulau Pinang,Penjara Seberang Perai,2019,Men,9067
Pulau Pinang,Penjara Seberang Perai,2019,Women,923
Perak,Penjara Taiping,2016,Men,946
Perak,Penjara Taiping,2016,Women,0
Perak,Penjara Taiping,2017,Men,707
Perak,Penjara Taiping,2017,Women,0
Perak,Penjara Taiping,2018,Men,798
Perak,Penjara Taiping,2018,Women,0
Perak,Penjara Taiping,2019,Men,1744
Perak,Penjara Taiping,2019,Women,0
Perak,Pusat Koreksional Kamunting,2016,Men,1517
Perak,Pusat Koreksional Kamunting,2016,Women,0
Perak,Pusat Koreksional Kamunting,2017,Men,1281
Perak,Pusat Koreksional Kamunting,2017,Women,2
Perak,Pusat Koreksional Kamunting,2018,Men,674
Perak,Pusat Koreksional Kamunting,2018,Women,0
Perak,Pusat Koreksional Kamunting,2019,Men,599
Perak,Pusat Koreksional Kamunting,2019,Women,1
Perak,Penjara Tapah,2016,Men,5562
Perak,Penjara Tapah,2016,Women,580
Perak,Penjara Tapah,2017,Men,5930
Perak,Penjara Tapah,2017,Women,645
Perak,Penjara Tapah,2018,Men,5475
Perak,Penjara Tapah,2018,Women,415
Perak,Penjara Tapah,2019,Men,6851
Perak,Penjara Tapah,2019,Women,687
Selangor/Kuala Lumpur,Penjara Kajang ,2016,Men,24908
Selangor/Kuala Lumpur,Penjara Kajang ,2016,Women,0
Selangor/Kuala Lumpur,Penjara Kajang ,2017,Men,28682
Selangor/Kuala Lumpur,Penjara Kajang ,2017,Women,0
Selangor/Kuala Lumpur,Penjara Kajang ,2018,Men,26246
Selangor/Kuala Lumpur,Penjara Kajang ,2018,Women,0
Selangor/Kuala Lumpur,Penjara Kajang ,2019,Men,17792
Selangor/Kuala Lumpur,Penjara Kajang ,2019,Women,0
Selangor/Kuala Lumpur,Penjara Sungai Buloh,2016,Men,4132
Selangor/Kuala Lumpur,Penjara Sungai Buloh,2016,Women,0
Selangor/Kuala Lumpur,Penjara Sungai Buloh,2017,Men,2098
Selangor/Kuala Lumpur,Penjara Sungai Buloh,2017,Women,0
Selangor/Kuala Lumpur,Penjara Sungai Buloh,2018,Men,664
Selangor/Kuala Lumpur,Penjara Sungai Buloh,2018,Women,0
Selangor/Kuala Lumpur,Penjara Sungai Buloh,2019,Men,15372
Selangor/Kuala Lumpur,Penjara Sungai Buloh,2019,Women,0
Selangor/Kuala Lumpur,Penjara Wanita Kajang,2016,Men,0
Selangor/Kuala Lumpur,Penjara Wanita Kajang,2016,Women,5901
Selangor/Kuala Lumpur,Penjara Wanita Kajang,2017,Men,0
Selangor/Kuala Lumpur,Penjara Wanita Kajang,2017,Women,7024
Selangor/Kuala Lumpur,Penjara Wanita Kajang,2018,Men,0
Selangor/Kuala Lumpur,Penjara Wanita Kajang,2018,Women,6616
Selangor/Kuala Lumpur,Penjara Wanita Kajang,2019,Men,0
Selangor/Kuala Lumpur,Penjara Wanita Kajang,2019,Women,6182
Selangor/Kuala Lumpur,Pusat Koreksional Puncak Alam,2016,Men,3
Selangor/Kuala Lumpur,Pusat Koreksional Puncak Alam,2016,Women,0
Selangor/Kuala Lumpur,Pusat Koreksional Puncak Alam,2017,Men,58
Selangor/Kuala Lumpur,Pusat Koreksional Puncak Alam,2017,Women,0
